job_name,salary,address,company_name,position_desc
JAVA工程师,面议,,北京市人才服务中心-中国人寿保险股份有限公司北京市海淀支公司,
JAVA开发工程师,面议,北京,首都信息发展股份有限公司,"人数：5,工作地点：北京 ,所需专业：计算机相关专业,学历：研究生,学位：硕士,月薪：13K,岗位要求：,1、计算机及相关专业，掌握Java语言，熟悉J2EE相关技术技术； ,2、了解J2EE架构和开发模式，了解MVC设计模式，了解HTML、CSS、JavaScript、JQuery、Ajax等常用语言； ,3、了解SQL，接触过Oracle、MySql等至少一种主流关系数据库； ,4、具备良好的团队协作精神，优秀的学习能力； ,5、具有很强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神。,其它说明：择优解决北京户口"
Java开发,面议,北京,北京大豪科技股份有限公司,"人数：1,工作地点：北京 ,所需专业：计算机、软件工程相关,学历：本科/研究生,学位：学士/硕士,月薪：6-10k,岗位要求：,    岗位职责： ,1.负责工业互联网平台产品的总体技术框架的规划与设计、持续优化； ,2.负责完成的软件系统技术方案设计 ,3.编写技术文档，制定技术规范，对设计系统的最终性能和稳定性负责。  ,    任职要求： ,1.本科或以上学历，计算机或软件工程相关专业； ,2.熟悉 Spring Boot、Spring Cloud等，能够进行核心代码编写，系统性能优化； ,3.精通Mysql数据库、Redis, mongodb等数据库相关技术； ,4.熟悉分布式应用、分布式消息系统设计。"
java开发工程师,18000-25000,北京,北京市人才服务中心-北京合众思壮时空物联科技有限公司,"岗位职责：  ,1、遵循公司、研发部门规章制度； ,2、根据项目需求、开发进度要求以及上级主管的任务分配，完成系统模块的设计和开发； ,3、对自己所负责的开发内容，提供逻辑清晰的开发说明文档；  ,4、对所开发部分内容的进行自测并输出测试结果；  ,5、对所开发的产品提供安装说明、使用说明文档；  、,6、对现有软件产品的问题进行定位分析并修复；  ,7、定期向上级领导汇报个人工作情况；  ,8、对于公司安排的其他工作，及时向上级领导汇报情况。 ,任职要求：  ,1、本科以上学历，3年以上Java开发经验；  ,2、熟练使用Hibernate、Mybatis、Spring、Struts、SpringMVC、Spring Boot/Spring Cloud等开发框架进行业务开发，熟悉MVC架构；  ,3、对于多线程并发、网络编程、IO有一定的掌握和应用经验；  ,4、熟悉NoSQL、缓存等技术并有一定的应用经验；  ,5、熟悉大数据生态圈常用框架和技术。  ,6、可独立搭建Java开发环境，熟练使用Myeclipse、Eclipse、IntelliJ IDEA等IDE中的至少一种；  ,7、熟练使用Linux环境进行部署、调试；  ,8、熟悉JBOSS、TOMCAT等容器的配置与应用；  ,9、熟练使用SQL，熟悉PostgreSQL、Oracle、MySQL、SQL Server等主流数据库的安装和应用；  ,10、具备一定的自测意识，熟练使用Junit等工具进行单元测试；  ,11、有较强的自学能力和独立解决问题的意识，具备一定的代码设计能力，思维敏捷、思路清晰，熟悉常用的设计模式；  ,12、有主动的团队合作开发精神与意识，有良好的沟通协调能力；  ,13、熟悉RESTful API开发；  ,14、熟悉Flink、scala者优先；  ,15、掌握Node.js开发者优先；  ,16、有互联网应用服务端开发经验者优先。"
JAVA工程师,面议,北京,北京市人才服务中心-北京数码视讯支付技术有限公司,"计算机和软件相关专业,具有良好的科研基础、良好的学习能力和责任心。,可入博士后站"
Java开发,6000-10000,北京,北京大豪科技股份有限公司,
初级Java开发工程师,面议,湖北省,招银云创（脉聘）-招银云创（脉聘）,",1、参与系统后台服务的设计和开发； ,2、对设定的功能进行系统设计、编码、单元测试以及开发文档编写； ,3、配合进行产品测试和验收工作，组织软件系统的安装调试； ,4、参与软件模块的代码正规检视、设计文档正规检视、设计评审等质量保证活动；  ,5、维护优化现有应用及日常故障处理。  , , ,1、掌握Java开发语言，熟悉常用框架（如SSM、Quartz等框架），掌握基本的多线程、IO、数据库操作技能，了解JVM的类加载、GC等机制，掌握JavaEE技术，熟悉Tomcat、Jetty、JBoss等应用服务器的安装、调试、配置及使用；  ,2、熟悉TCP/IP和HTTP等协议；  ,3、熟练使用Oracle、DB2、MySQL的其中一种数据库，并掌握相应的数据库编程技术；  ,4、了解缓存、队列等分布式架构技术；  ,5、对技术有追求，有学习新技术的途径与习惯；  ,6、逻辑能力强，良好的职业素养，较好的沟通能力与技术学习能力，具有团队合作精神，充满工作热情，人品正直诚实，能承受工作压力。"
JAVA开发工程师,面议,四川省-成都,中国电子科技网络信息安全有限公司-中国网安总部及三十所,"职责描述：,1.负责应用软件模块的设计、需求分析、开发、技术文档编写； ,2.负责完成功能模块的单元测试； ,3.负责与软件外包团队的需求对接、进度检查、项目管理。,任职要求：,1.本科及以上学历，计算机、软件等相关专业； ,2.熟练运用Java开发语言，有spring boot、spring cloud、SSM等框架运用经验； ,3.具备Css、javaScript等前端开发、Go语言和node.js的开发能力； ,4.熟悉TCP/IP通信协议、P2P协议、分布式存储系统的基本原理； ,5.具有较强的调试和解决问题的能力； ,6.具有良好的沟通能力和团队合作精神。"
技术部Java工程师（新华互联）,面议,,中国出版集团-新华书店总店有限公司,"软件工程/计算机科学与技术,本科及以上,1.参与公司互联网产品架构设计、开发实现工作； ,2.参与撰写公司互联网产品研发过程中概要设计文档、详细设计文档、接口文档等； ,3.参与公司互联网产品在实现过程中的技术难题，如分布式系统设计、性能调优、可靠性、数据库等。,1.计算机、软件等相关专业统招大学本科及以上学历； ,2.热爱编程，基础扎实，熟悉掌握但不限于JAVA/Python/JS/GO等编程语言中的一种或数种，有良好的编程习惯； ,3.具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践； ,4.对数据结构、算法有一定了解； ,5.优选条件： ,（1）具有互联网软件等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织； ,（2）熟悉Spring/SpringBoot/Dubbo/Redis/Nginx/MQ/ES等后端开发技术及中间件使用。"
高级Java工程师,面议,北京,58 X 腾讯课堂-龙湖集团,
信息科技中心-APP后台JAVA开发,面议,其他,58 X 腾讯课堂-大家保险集团,"。,。,。"
校招-软件开发与创新岗（Java方向/C语言方向）,面议,其他,58 X 腾讯课堂-中国人寿研发中心,
Java开发工程师,面议,湖北省-武汉 北京,北京市人才服务中心-京东集团,"1-2020年10月1日至2021年9月30日期间毕业，统招本科及以上学历； ,2-具有非常强的责任心，能够承担压力做事细心，参与独立系统的设计、开发、维护工作； ,3-了解web前端开发的基础知识，会面向对象程序设计（OOP）与基本的设计模式，了解linux及基本的操作命令； ,4-具有良好的算法基础及系统分析能力； ,5-认真细致，踏实勤奋，具有较好的团队协作精神和沟通能力。"
Java 开发工程师-产品中心,面议,北京,北京东方金信科技有限公司,
Java开发工程师,面议,北京,58 X 腾讯课堂-中国民航信息网络股份有限公司,
Java后台开发工程师-研发类（中航信移动科技有限公司）,面议,北京,58 X 腾讯课堂-中国民航信息网络股份有限公司,
Java开发工程师-数据研究院,面议,北京,北京东方金信科技有限公司,
JAVA软件开发工程师,面议,北京,58 X 腾讯课堂-京东,
JAVA实习生,面议,湖北省-武汉,中华英才网云招聘-武汉大润发江汉超市发展有限公司,"职位介绍：  ,1.参与模块开发和交付；  ,2.负责编码，单元测试；  ,3.解决产品中存在的技术问题；  ,4.能够独立完成主管交付的研发任务。  ,岗位要求：  ,1.本科及以上学历，计算机相关专业，有大型互联网开发经验者优先；  ,2.对各种开源框架如Hibernate、Spring、Struts等有较深了解；  ,3.熟悉OOD、OOP；  ,4.熟悉HTML/CSS/JavaScript等, 熟悉基于数据库的设计和开发； 熟悉Linux操作系统；  ,5.熟练使用Eclipse等开发工具；  ,6.具有良好的沟通能力，有较强的独立工作能力和解决问题的能力；  ,7.熟悉软件设计流程和软件工程规范，具备良好而规范的设计和技术文档编写能力； 有良好的钻研能力、学习能力、团队协作能力、沟通能力。  ,8.2020级毕业生，逻辑缜密，反应迅速，理解沟通能力强；  ,9.专业为计算机或信息管理相关领域者优先，能掌握基本数据库与程式语言原理尤佳；  ,10.有好奇心与观察力，喜欢思考原理原则，能归纳事情的同异，并能清楚表达想法；  ,11.动作迅速，细心踏实，积极负责。  ,福利待遇：  1.入职可享受3-6个月的带薪培训；  ,2. 入职一年后即可参加《员工信托受益方案》  ,3. 人性化的管理制度，宽松高效的工作氛围，照顾同仁、安全安心的工作环境；  ,4. 提供午餐补助，干净卫生的员工食堂、超市购物员工打折卡、生日慰问，生病探望等福利。  ,5.丰富多样的员工业余生活，动感舞蹈、美体瑜珈、快乐羽毛球、员工生日会！  ,工作地点：武汉"
Java开发工程师,面议,广东省-佛山,盈峰环境科技集团股份有限公司,"需求专业：计算机科学与技术,招聘人数：1人,学历要求：本科,工作地点：佛山"
软件开发岗 （Java开发方向）,面议,北京,中华英才网云招聘-中国人寿财产保险股份有限公司,
JAVA 开发专家,面议,北京,58 X 腾讯课堂-京东,
Java工程师,面议,上海,英才海外频道-Micro Focus,
Java开发工程师（苏州）,面议,,中移（苏州）软件技术有限公司-中移（苏州）软件技术有限公司,
Java研发实习生,面议,北京,度小满科技（北京）有限公司,"需求人数：10  需求专业：计算机相关专业优先  学历要求：本科及以上 工作地点：北京/上海 ,1.java基础良好，熟悉主流的java开发框架以及通用算法； 2.熟悉至少一种主流的数据库，如oracle，mysql； 3.较好的逻辑分析能力，思维缜密、思路清晰； 4.良好的沟通和口头、书面表达能力； 5.有数据BI分析相关项目实习开发经验的优先。"
Java开发工程师,面议,,济南数维信息科技有限公司,
java开发工程师,面议,内蒙古自治区 北京,北京科电亿网互联网科技有限公司,
Java开发工程师,6000-10000,浙江省-杭州,杭州易和互联软件技术有限公司,
JAVA（软件）开发工程师,面议,北京,大公国际资信评估有限公司,
系统开发工程师 （Java方向）,面议,上海,中国人民大学2020年经管专场全职/实习网络双选会-东方证券资产管理有限公司,
Java开发工程师（校招）,面议,北京,阳光产险信保事业部,
（2020届春招）应用软件开发工程师（Java）,面议,浙江省-杭州,海康威视,
JAVA开发工程师,面议,四川省-绵阳,四川长虹电子控股集团有限公司软件与服务中心,
Java开发工程师,面议,江苏省-苏州,中华英才网云招聘-中国移动云能力中心,
Java开发工程师,面议,天津,北京联想云科技有限公司,"计算机相关专业；  ,5人；  ,天津。"
系统开发工程师 （Java方向）,面议,上海,东方证券资产管理有限公司,"需求专业：计算机相关专业,招聘人数：2,学历要求：硕士  ,工作地点：上海"
java开发工程师,面议,山东省-烟台,北京科技大学线上招聘会-烟台东方威思顿电气有限公司,
中控Java开发工程师,面议,北京,北京金山云网络技术有限公司,"岗位要求：,1.掌握Java语言基础知识，熟悉Java开发环境，熟悉Maven，Spring MVC等工具和框架 ,2.熟悉常见数据结构和算法 ,3.熟悉TCP/IP网络协议和Socket编程，熟练使用Linux操作系统 ,4.热爱研发，乐于与人沟通，交流,招聘专业：计算机相关专业,学历要求：本科及以上,招聘人数：3人,工作地点：北京"
Java开发工程师,面议,陕西省-西安,西安中服软件有限公司,"需求专业：计算机相关专业,学历要求：本科,招聘人数：20人,工作地点：西安"
Java软件架构师,面议,陕西省-西安 北京,北京科技大学线上招聘会-北京中科辅龙智能技术有限公司,"计算机相关专业，熟练使用linux、unix等操作系统，精通SpringBoot、VUE、jQuery、html5,学历：本科及以上      招聘人数：20     工作地点：北京/西安"
云存储Java开发工程师,面议,北京,北京金山云网络技术有限公司,"岗位要求：,1. 熟悉Linux/Unix平台上的Java等语言编程，熟悉常用脚本语言Shell、Python等； ,2. 熟悉常用算法和数据结构，熟悉网络编程、多线程编程技术； ,3. 善于学习新的知识，对解决具有挑战性问题充满激情；,4. 良好的团队合作精神，较强的沟通能力 5. 熟悉hadoop等大数据处理技术优先,招聘专业：计算机相关专业,学历要求：本科及以上,招聘人数：3人,工作地点：北京"
JAVA软件开发工程师,面议,北京,北京科技大学线上招聘会-中科软科技股份有限公司,
Java开发实习生,面议,北京,北京科技大学线上招聘会-东吴（苏州）金融科技有限公司,
Java开发工程师,面议,北京,北京科技大学线上招聘会-北京数慧时空信息技术有限公司,
Java开发工程师,面议,北京,北京科技大学线上招聘会-朗新科技股份有限公司,"需求专业：计算机/软件工程/信息管理/数学与应用数学等理工科类专业,工作地点：北京、无锡、杭州、武汉,学历要求：本科；招聘人数：50人"
JAVA开发工程师,面议,四川省-成都,中国电子科技网络信息安全有限公司-中国电子科技集团公司第三十研究所,
Java研发工程师,面议,北京,北京科技大学线上招聘会-百度在线网络技术（北京）有限公司,
Java开发工程师,面议,北京,北京科技大学线上招聘会-北京庚图科技有限公司,
JAVA研发工程师,面议,广东省-广州,世纪龙信息网络有限责任公司,", 从事中国电信21CN产品业务服务平台的开发、优化及运营维护工作；应用业界主流架构，提升网络并发接入性能，优化业务处理流程，保障用户数据安全，为海量互联网用户提供高质量的业务支撑平台。  ,  ,1、计算机相关专业硕士研究生及以上学历；   ,2、计算机基础知识扎实，掌握操作系统、软件工程、常用算法、数据结构、数据库、网络等专业知识；   ,3、至少掌握一种编程语言，熟悉Java编程语言、开发工具、主流Java Web开源框架；  ,4、了解MySQL数据库及SQL语言，了解主流NoSQL数据库原理；   ,5、良好的编码习惯和编程思想，较强的自我驱动学习能力；   ,6、热爱编程，对技术有强烈的好奇心，具备较强执行力和抗压能力。"
服务端开发工程师-Java方向,面议,上海,北京科技大学线上招聘会-东方财富信息股份有限公司,"计算机相关专业,工作地点：上海；学历要求：本科及以上；招聘人数：10人"
Java開發,面议,北京,北京科技大学线上招聘会-富士康工业互联网股份有限公司,"专业：计算机类,学历：本科及以上,人数：7,工作地：上海，深圳"
Java高级开发工程师,15000-20000,,北京五八信息技术有限公司,
Java开发,面议,四川省-成都,中华英才网云招聘-成都卫士通信息产业股份有限公司,
JAVA工程师,面议,,中国出版集团-中版集团数字传媒有限公司,
JAVA开发工程师,面议,福建省-厦门 北京,北京科技大学线上招聘会-北京时代凌宇科技股份有限公司,"计算机、自动化、通信等理工科相关专业,学历：本科及以上,工作地：北京，厦门,招聘人数：2"
Java开发工程师,面议,北京,58同城-北京五八信息技术有限公司,
Java高级开发工程师,15000-20000,,北京五八信息技术有限公司,
